#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
25000,50.00000000001514,-2013045.4499146529,367042.7419586042,-1646002.7079560487,300.65651183826714,1446.3012624913056,1.015244658716718,0
50000,99.99999999994834,-2010709.4454539716,364353.0861070717,-1646356.3593469,298.4533282470266,1442.8066067252398,1.0177037066473378,71.4
75000,149.99999999998812,-2015140.945818713,367654.5938014913,-1647486.3520172215,301.15769935627293,1445.9248392995821,1.0155089612754868,71.5
100000,200.00000000022686,-2009097.7625312526,366614.3166706043,-1642483.4458606483,300.3055749092708,1440.693116330896,1.0191966734588715,71.5
125000,250.0000000004656,-2011708.8874476515,366914.9259049089,-1644793.9615427426,300.5518135988853,1442.7064660112137,1.0177743471956762,71.5
150000,300.00000000070435,-2011503.7145244256,365341.5933596128,-1646162.1211648127,299.2630463220658,1441.8741523959447,1.0183618516217974,71.6
175000,350.0000000009431,-2009732.3927472476,365887.58274905256,-1643844.8099981952,299.71028378671014,1444.6190543615094,1.016426875449544,71.6
200000,400.00000000118183,-2010687.9412384816,367669.07412410126,-1643018.8671143802,301.16956065412325,1444.4871502511694,1.0165196910088299,71.6
225000,450.0000000014206,-2012348.6575805508,365834.18801848986,-1646514.469562061,299.6665464460509,1440.5005034693852,1.0193329527501624,71.6
250000,500.0000000016593,-2011380.9359990638,366156.66856175713,-1645224.2674373067,299.93070062808727,1441.704713394891,1.0184815364735196,71.6
